query,case,median,min,median_cap,min_cap,max_cap,p10_cap,p90_cap,n_fail,label,benchmark,sf,threads
25c,1,4.404999999999999,3.18,4.404999999999999,3.18,5.86,3.413,5.436,0,job_t1,job,0,1
25c,2,2.66,1.71,2.66,1.71,3.26,2.084,3.1140000000000003,0,job_t1,job,0,1
25c,3,2.605,1.71,2.605,1.71,3.3,2.1470000000000002,3.0860000000000003,0,job_t1,job,0,1
25c,4,2.51,1.82,2.51,1.82,3.38,2.0509999999999997,3.13,0,job_t1,job,0,1
26a,1,6.945,2.89,6.945,2.89,41.26,3.0660000000000003,25.54100000000001,0,job_t1,job,0,1
26a,2,1.7349999999999999,1.36,1.7349999999999999,1.36,2.43,1.397,2.3200000000000003,0,job_t1,job,0,1
26a,3,1.74,1.36,1.74,1.36,2.44,1.398,2.29,0,job_t1,job,0,1
26a,4,1.565,1.31,1.565,1.31,1.7,1.32,1.65,0,job_t1,job,0,1
26b,1,6.095,2.48,6.095,2.48,37.8,2.607,18.662000000000006,0,job_t1,job,0,1
26b,2,1.37,1.14,1.37,1.14,1.69,1.199,1.622,0,job_t1,job,0,1
