label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
job_t1,job,0,1,2b,0.625,0.34,0.34,0.29,0.51,0.3,0.3,0.29,2.1551724137931036,1.838235294117647,1.0,1.2254901960784315,0.5686274509803921,1.1724137931034484
job_t1,job,0,1,2c,0.585,0.09,0.09,0.08,0.3,0.07,0.07,0.07,7.312499999999999,6.5,1.1428571428571428,1.95,0.26666666666666666,1.125
job_t1,job,0,1,2d,0.66,0.545,0.55,0.34,0.56,0.45,0.47,0.33,1.9411764705882353,1.2110091743119267,1.0303030303030303,1.1785714285714286,0.6071428571428571,1.6029411764705883
job_t1,job,0,1,30a,3.935,1.85,1.8450000000000002,1.79,2.79,1.58,1.59,1.56,2.1983240223463687,2.127027027027027,1.1474358974358974,1.4103942652329748,0.6415770609318997,1.0335195530726258
job_t1,job,0,1,30b,3.65,1.6400000000000001,1.63,1.565,2.87,1.37,1.37,1.36,2.3322683706070286,2.225609756097561,1.150735294117647,1.2717770034843205,0.5452961672473867,1.0479233226837061
job_t1,job,0,1,30c,4.68,2.0949999999999998,2.075,2.01,3.25,1.75,1.73,1.8,2.328358208955224,2.2338902147971362,1.1166666666666665,1.44,0.6184615384615384,1.0422885572139304
job_t1,job,0,1,31a,4.220000000000001,1.795,1.775,1.68,3.53,1.48,1.46,1.41,2.5119047619047623,2.3509749303621175,1.1914893617021276,1.1954674220963175,0.47592067988668557,1.068452380952381
job_t1,job,0,1,31b,3.69,1.6,1.59,1.585,2.93,0.83,0.84,0.81,2.32807570977918,2.30625,1.95679012345679,1.25938566552901,0.5409556313993173,1.0094637223974765
job_t1,job,0,1,31c,5.904999999999999,2.21,2.225,1.8849999999999998,3.38,1.86,1.86,1.62,3.13262599469496,2.671945701357466,1.16358024691358,1.747041420118343,0.5576923076923076,1.1724137931034484
job_t1,job,0,1,32a,0.16499999999999998,0.05,0.05,0.04,0.04,0.04,0.04,0.04,4.124999999999999,3.2999999999999994,1.0,4.124999999999999,1.0,1.25
job_t1,job,0,1,32b,0.35,0.29,0.29,0.225,0.29,0.28,0.28,0.22,1.5555555555555554,1.206896551724138,1.0227272727272727,1.206896551724138,0.7758620689655173,1.2888888888888888
job_t1,job,0,1,33a,0.64,0.19,0.19,0.19,0.44,0.15,0.15,0.15,3.3684210526315788,3.3684210526315788,1.2666666666666668,1.4545454545454546,0.4318181818181818,1.0
job_t1,job,0,1,33b,0.53,0.175,0.175,0.17,0.34,0.14,0.14,0.14,3.1176470588235294,3.028571428571429,1.2142857142857142,1.5588235294117647,0.5,1.0294117647058822
job_t1,job,0,1,33c,0.83,0.325,0.32,0.29,0.62,0.27,0.28,0.26,2.8620689655172415,2.5538461538461537,1.1153846153846152,1.3387096774193548,0.46774193548387094,1.120689655172414
job_t1,job,0,1,3a,1.91,1.3,1.29,1.18,1.86,1.12,1.11,1.11,1.6186440677966103,1.4692307692307691,1.0630630630630629,1.0268817204301075,0.6344086021505375,1.1016949152542375
job_t1,job,0,1,3b,0.94,0.99,0.99,0.99,0.87,0.95,0.94,0.93,0.9494949494949495,0.9494949494949495,1.064516129032258,1.0804597701149425,1.1379310344827587,1.0
job_t1,job,0,1,3c,2.255,1.41,1.4,1.225,2.13,1.19,1.19,1.18,1.8408163265306121,1.599290780141844,1.038135593220339,1.0586854460093897,0.5751173708920189,1.1510204081632651
job_t1,job,0,1,4a,0.685,0.42,0.415,0.3,0.39,0.35,0.35,0.29,2.2833333333333337,1.6309523809523812,1.0344827586206897,1.7564102564102564,0.7692307692307692,1.4
job_t1,job,0,1,4b,0.335,0.28,0.28,0.28,0.24,0.23,0.23,0.23,1.1964285714285714,1.1964285714285714,1.2173913043478262,1.3958333333333335,1.1666666666666667,1.0
job_t1,job,0,1,4c,0.885,0.535,0.54,0.34,0.47,0.41,0.41,0.33,2.602941176470588,1.6542056074766354,1.0303030303030303,1.8829787234042554,0.723404255319149,1.5735294117647058
job_t1,job,0,1,5a,1.8900000000000001,0.08,0.08499999999999999,0.08,1.69,0.08,0.08,0.08,23.625,23.625,1.0,1.1183431952662723,0.04733727810650888,1.0
job_t1,job,0,1,5b,1.21,0.2,0.2,0.2,1.07,0.08,0.08,0.08,6.05,6.05,2.5,1.130841121495327,0.18691588785046728,1.0
job_t1,job,0,1,5c,2.21,1.14,1.14,1.11,2.02,1.09,1.09,1.09,1.9909909909909909,1.9385964912280702,1.0183486238532111,1.0940594059405941,0.5495049504950495,1.0270270270270268
job_t1,job,0,1,6a,0.68,0.55,0.55,0.53,0.5,0.48,0.48,0.48,1.2830188679245282,1.2363636363636363,1.1041666666666667,1.36,1.06,1.0377358490566038
job_t1,job,0,1,6b,0.73,0.48,0.475,0.46,0.45,0.46,0.46,0.45,1.5869565217391304,1.5208333333333333,1.0222222222222221,1.6222222222222222,1.0222222222222221,1.0434782608695652
job_t1,job,0,1,6c,0.665,0.425,0.43,0.43,0.42,0.42,0.42,0.42,1.5465116279069768,1.5647058823529414,1.0238095238095237,1.5833333333333335,1.0238095238095237,0.9883720930232558
