label,query,case,k_breakeven,med_c1,med_c,med_bf
job_t1,job_q9c,4,5.474772350035044,1.6877313225,0.870594325,0.1826097360000002
job_t1,job_q9d,4,4.272254082367826,2.0135215355,1.376286231,0.19473894400000014
tpch_sf100_t1,tpch_q1,2,inf,30.7170600195,30.6633769335,0.0
tpch_sf100_t1,tpch_q10,2,4.84465251604055,43.088383272,26.99470194,4.185991130499936
tpch_sf100_t1,tpch_q11,2,64.78124403322367,6.298847653,6.17274617,0.001977093499999999
tpch_sf100_t1,tpch_q12,2,-inf,22.1502945215,22.198451875499998,0.0
tpch_sf100_t1,tpch_q13,2,inf,55.303698817,54.781592896,0.0
tpch_sf100_t1,tpch_q14,2,inf,29.632099548,29.604894576,0.0
tpch_sf100_t1,tpch_q15,2,inf,11.722997481,11.6974329775,0.0
tpch_sf100_t1,tpch_q16,2,-inf,12.8869677315,12.908298994999999,0.0
tpch_sf100_t1,tpch_q17,2,-inf,51.672817284000004,51.9321789165,0.0
tpch_sf100_t1,tpch_q18,2,inf,176.110169218,175.696220571,0.0
tpch_sf100_t1,tpch_q19,2,inf,40.861040294000006,40.666267308,0.0
tpch_sf100_t1,tpch_q2,2,3.8497492741922086,9.4234834355,6.6768809744999995,0.9638049515000064
tpch_sf100_t1,tpch_q20,2,14.22249353610594,32.8532930245,22.4205636235,0.7890137645000099
tpch_sf100_t1,tpch_q21,2,8.100163338647963,137.736202603,99.85783696850001,5.334858344500131
tpch_sf100_t1,tpch_q22,2,inf,18.124963204,18.0518342675,0.0
tpch_sf100_t1,tpch_q3,2,-1.273920952364834,45.31311981,45.786920823,0.2083630095000687
tpch_sf100_t1,tpch_q4,2,inf,32.216680172500006,32.0957445015,0.0
tpch_sf100_t1,tpch_q5,2,1.5589277487426043,80.8306174815,72.438070572,15.015441492000262
tpch_sf100_t1,tpch_q6,2,-inf,8.5508013795,8.563445059500001,0.0
tpch_sf100_t1,tpch_q7,2,8.373797908124608,77.87723748650001,22.0203434965,7.575050833500018
tpch_sf100_t1,tpch_q8,2,7.404791639477702,71.7357943335,25.9250927485,7.1525670409999105
tpch_sf100_t1,tpch_q9,2,13.197901126975013,156.574488246,56.3212011405,8.218896518499822
tpch_sf100_t1,tpch_q1,4,inf,30.7170600195,30.6940171455,0.0
tpch_sf100_t1,tpch_q10,4,3.73650463490082,43.088383272,27.422167235,5.724900238499979
tpch_sf100_t1,tpch_q11,4,2.545435704244068,6.298847653,4.1277857005000005,1.4048219195000091
tpch_sf100_t1,tpch_q12,4,4.385908276370474,22.1502945215,15.1175771485,2.077054899000018
tpch_sf100_t1,tpch_q13,4,inf,55.303698817,55.010439417,0.0
tpch_sf100_t1,tpch_q14,4,12.565492632502734,29.632099548,12.026784240000001,1.5222278780000629
tpch_sf100_t1,tpch_q15,4,inf,11.722997481,11.640213262500001,0.0
tpch_sf100_t1,tpch_q16,4,-0.5132053191123898,12.8869677315,12.9090737175,0.01460871550000005
tpch_sf100_t1,tpch_q17,4,4.379631281850701,51.672817284000004,35.101957489499995,4.903156117499817
tpch_sf100_t1,tpch_q18,4,inf,176.110169218,175.67267532900001,0.0
tpch_sf100_t1,tpch_q19,4,4.7845255925745125,40.861040294000006,26.570191508,3.7761268714999803
tpch_sf100_t1,tpch_q2,4,2.144978074628754,9.4234834355,7.2478787615,1.9001278035000058
tpch_sf100_t1,tpch_q20,4,14.420383340705115,32.8532930245,22.311213749,0.7855274329999958
tpch_sf100_t1,tpch_q21,4,5.764607897668488,137.736202603,95.789158842,8.803881591500186
tpch_sf100_t1,tpch_q22,4,inf,18.124963204,17.951143420999998,0.0
tpch_sf100_t1,tpch_q3,4,-0.69264655330217,45.31311981,45.728163735500004,0.24520413000002583
tpch_sf100_t1,tpch_q4,4,inf,32.216680172500006,31.9882523085,0.0
tpch_sf100_t1,tpch_q5,4,1.7990744266792946,80.8306174815,56.0932504365,30.95752563099888
tpch_sf100_t1,tpch_q6,4,-inf,8.5508013795,8.564201432499999,0.0
tpch_sf100_t1,tpch_q7,4,8.46389508127477,77.87723748650001,20.440356277,7.695295898999998
tpch_sf100_t1,tpch_q8,4,6.687528076853668,71.7357943335,22.491123965,8.658360838500172
